final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,ax,bx,run_index
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.042517662048339844,58.860789024510375,37.25104633222804,38
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04142642021179199,66.68040143573901,12.71628391586168,39
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04573702812194824,46.982323156301014,6.263356546051309,40
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.042714595794677734,19.99663140165021,27.415963490780094,41
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.041567325592041016,6.070952594193825,38.29251652844565,42
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04257917404174805,47.975798061416434,7.586506874059812,43
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04293489456176758,44.63843922710827,10.49705624648394,44
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04500293731689453,72.41017422486864,14.854137396139306,45
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.042891740798950195,53.38572976090005,6.593019114040332,46
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04308152198791504,75.38543666228364,20.958042136555047,47
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04520416259765625,42.36240954972857,36.64342051717388,48
