final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,noise_level,run_index
74.09436983351794,12674.44352464055,40071.897543247316,12600.349154807032,39997.8031734138,27397.454018606768,4,4,4,0.04830598831176758,0.05912947301984525,112
74.09859321315051,12674.44345837466,40071.89758250249,12600.34486516151,39997.79898928934,27397.454124127828,4,4,4,0.0479731559753418,0.020866576514075443,113
74.11045416156806,12674.44316662754,40071.897817795274,12600.332712465972,39997.7873636337,27397.454651167733,4,4,4,0.04809284210205078,0.08201834598240454,114
74.09680254531604,12674.443764175383,40071.89760878931,12600.346961630066,39997.80080624399,27397.453844613927,4,4,4,0.04706740379333496,0.047177055910458246,115
74.09765367209047,12674.443491839167,40071.89754340138,12600.345838167077,39997.799889729285,27397.45405156221,4,4,4,0.04862046241760254,0.010854567486549706,116
74.09788092007656,12674.443857783477,40071.89773942536,12600.3459768634,39997.799858505285,27397.453881641883,4,4,4,0.04993152618408203,0.09968721290281324,117
74.1074180814872,12674.443627089295,40071.89822512001,12600.336209007808,39997.79080703852,27397.454598030712,4,4,4,0.04990696907043457,0.04640328058701115,118
74.09589771809358,12674.44377099736,40071.89746401558,12600.347873279266,39997.80156629749,27397.45369301822,4,4,4,0.04903268814086914,0.060952688722391395,119
74.09986287846823,12674.44341607938,40071.89763974317,12600.343553200913,39997.7977768647,27397.454223663786,4,4,4,0.04781937599182129,0.03654341846097007,120
74.09385941862179,12674.443694561698,40071.89732508088,12600.349835143077,39997.803465662255,27397.45363051918,4,4,4,0.04814410209655762,0.09236385206780967,121
74.09067532913907,12674.443246649353,40071.89746257309,12600.352571320214,39997.80678724395,27397.45421592374,4,4,4,0.04958295822143555,0.07434947274147136,122
74.10211702963693,12674.443444694956,40071.89779901288,12600.34132766532,39997.79568198324,27397.45435431792,4,4,4,0.04889369010925293,0.042591192129798144,123
74.10661843123913,12674.444608224285,40071.89904842246,12600.337989793046,39997.79242999123,27397.454440198177,4,4,4,0.04775238037109375,0.09681858665050891,124
74.09968839778622,12674.443826422917,40071.89765094343,12600.344138025132,39997.79796254564,27397.45382452051,4,4,4,0.050347089767456055,0.05314153282325347,125
74.10139008521777,12674.443772868972,40071.897549064975,12600.342382783754,39997.796158979756,27397.453776196002,4,4,4,0.046137332916259766,0.0672043864116134,126
74.09169481631754,12674.444312850412,40071.897774142344,12600.352618034094,39997.80607932603,27397.45346129193,4,4,4,0.04969310760498047,0.09414333576171156,127
74.09714964564695,12674.443504394032,40071.89742013394,12600.346354748384,39997.80027048829,27397.453915739905,4,4,4,0.05330801010131836,0.04501604316862943,128
74.09176591417965,12674.443518456865,40071.89738088514,12600.351752542685,39997.80561497096,27397.453862428272,4,4,4,0.048140525817871094,0.08801958755683494,129
74.08928590107566,12674.443459822753,40071.897170141696,12600.354173921676,39997.80788424062,27397.453710318943,4,4,4,0.04884076118469238,0.040157390831433076,130
74.1019639664599,12674.443178692403,40071.89774371579,12600.341214725944,39997.79577974933,27397.454565023385,4,4,4,0.049436092376708984,0.051183749292494835,131
74.09643672962332,12674.443543959944,40071.897568821034,12600.34710723032,39997.80113209141,27397.45402486109,4,4,4,0.048422813415527344,0.0323058468084223,132
74.10010427350383,12674.444045388076,40071.89796102093,12600.343941114572,39997.79785674743,27397.453915632854,4,4,4,0.049750328063964844,0.08827626033911651,133
74.09628741153902,12674.443574696848,40071.89740243818,12600.347287285309,39997.80111502665,27397.453827741334,4,4,4,0.04804253578186035,0.06116257847952425,134
74.10320161079918,12674.443467232977,40071.89790266016,12600.340265622179,39997.79470104936,27397.454435427182,4,4,4,0.049465179443359375,0.04678280615886187,135
74.0989233361014,12674.443568267827,40071.89751146457,12600.344644931725,39997.79858812847,27397.453943196746,4,4,4,0.0483553409576416,0.02217062770480656,136
74.08576943579027,12674.443099036429,40071.89744713682,12600.357329600638,39997.81167770103,27397.454348100393,4,4,4,0.04988241195678711,0.08526686357625823,137
74.10207270255563,12674.443180246351,40071.89830613081,12600.341107543796,39997.79623342826,27397.45512588446,4,4,4,0.04934382438659668,0.09729622849737425,138
74.1042054817645,12674.443833091915,40071.89794781302,12600.33962761015,39997.793742331254,27397.454114721106,4,4,4,0.049669742584228516,0.08546691873822117,139
74.0984868973442,12674.443601102597,40071.89758929326,12600.345114205253,39997.79910239591,27397.45398819066,4,4,4,0.04935622215270996,0.034821862634065504,140
74.09533494851527,12674.443483922216,40071.897512056465,12600.3481489737,39997.80217710795,27397.45402813425,4,4,4,0.0499417781829834,0.018540353104184837,141
74.10174608499392,12674.443651421396,40071.89781061196,12600.341905336401,39997.79606452697,27397.454159190565,4,4,4,0.04888916015625,0.0737970239257777,142
74.09838965133201,12674.443616101844,40071.89747346009,12600.345226450512,39997.79908380876,27397.453857358247,4,4,4,0.04865670204162598,0.029770776837265114,143
